Recept ID,Receptnév,Elkészítése,Kép,Szenhidrat_g,Feherje_g,Zsir_g,Recept_Skálázhatóság,,
73,Francia saláta,"1. Zöldségek előfőzése:
o A sárgarépát és a fehérrépát pucold meg, majd vágd apró, kb. 0,5-1 cm-es kockákra.
o Enyhén sós vízben főzd meg a felkockázott sárgarépát és fehérrépát. Addig főzd, amíg megpuhulnak, de még roppanósak maradnak (kb. 8-12 perc a kockák méretétől függően). Vigyázz, ne főzd túl őket!
o Ha megfőttek, szűrd le, és hideg vízzel öblítsd át őket, hogy megállítsd a főzési folyamatot és gyorsabban kihűljenek. Tedd félre hűlni.
2. További hozzávalók előkészítése:
o Amíg a gyökérzöldségek hűlnek, készítsd elő a többi alapanyagot.
o A zöldborsó konzervet öntsd egy szűrőbe, és alaposan csepegtesd le.
o Az almát (héjastul vagy meghámozva, ízlés szerint) vágd a répához hasonló méretű kis kockákra.
o A csemegeuborkát szintén vágd apró kockákra.
3. Saláta összeállítása:
o Egy közepes méretű tálban óvatosan keverd össze a teljesen kihűlt főtt sárgarépa- és fehérrépa kockákat, a lecsepegtetett zöldborsót, a felkockázott almát és a csemegeuborkát.
o Add hozzá a cukormentes majonézt és egy csipet sót. Óvatosan forgasd össze az egészet, hogy a majonéz mindenhol bevonja a hozzávalókat, de ne törd össze a zöldségeket.
o Kóstold meg, és ha szükséges, igazíts a só mennyiségén.
4. Hűtés és tálalás:
o A legjobb íz elérése érdekében a francia salátát tálalás előtt legalább 30-60 percre tedd be a hűtőszekrénybe, hogy az ízek összeérjenek.
o Hidegen tálald.",https://drive.google.com/thumbnail?id=1Hcdt0ilIE3aLs0iJ-Pfvl-mpuwIbGrmE,27,6,8,Skálázható,,
74,Frankfurti leves,"1. Előkészületek:  
o A vöröshagymát pucoljuk meg és aprítsuk finomra. 
o A burgonyát hámozzuk meg, mossuk át, majd vágjuk kb. 1-1,5 cm-es kockákra. 
o A kelkáposztát mossuk meg, szükség esetén távolítsuk el a vastagabb ereket, majd vágjuk vékony csíkokra vagy kisebb, falatnyi darabokra. 
o A virslit karikázzuk fel kb. 0,5 cm vastagságúra. 
2. Levesalap készítése:  
o Egy közepes méretű lábasban hevítsük fel az olajat vagy kókuszzsírt (ha használunk). Adjuk hozzá az aprított vöröshagymát, és dinszteljük üvegesre alacsony-közepes lángon, kb. 2-3 perc alatt. 
o Húzzuk le a lábast a tűzről, szórjuk meg a pirospaprikával, és keverjük el gyorsan, hogy a paprika ne égjen meg (mert akkor keserű lesz). 
o Tegyük vissza a lábast a tűzre, adjuk hozzá a felkockázott burgonyát és a felcsíkozott kelkáposztát. Szórjuk meg az őrölt köménnyel és egy csipet sóval. Forgassuk össze az egészet. 
3. Főzés:  
o Öntsük fel annyi vízzel vagy zöldségalaplével (kb. 300-400 ml), amennyi éppen ellepi a zöldségeket. 
o Forraljuk fel a levest, majd vegyük a lángot alacsonyabbra, fedjük le, és főzzük kb. 15-20 percig, vagy amíg a burgonya és a kelkáposzta majdnem teljesen megpuhul. 
o Adjuk hozzá a felkarikázott virslit a leveshez, és főzzük további 5 percig. 
4. Sűrítés (habarás):  
o Egy kis tálkában keverjük simára csomómentesre a vegán tejfölt a zabliszttel. 
o Merjünk egy keveset (kb. fél merőkanálnyit) a leves forró levéből a tejfölös-lisztes keverékhez (ez a hőkiegyenlítés, hogy a tejföl ne csapódjon ki), és keverjük el alaposan. 
o Lassan, folyamatos keverés mellett csorgassuk ezt a keveréket a levesbe. 
o Forraljuk össze a levest még egyszer, és főzzük további 1-2 percig, amíg kissé besűrűsödik. Kóstoljuk meg, és ha szükséges, ízesítsünk utána sóval. 
5. Tálalás:  
o Melegen tálaljuk. Kínálhatunk mellé friss kenyeret vagy egy kanál extra vegán tejfölt. ",https://drive.google.com/thumbnail?id=1WDLfIyjRah-imJQoBweiSL4goYa4uV94,22,11,16,Skálázható,,
75,French toast,"1. Áfonyaszósz elkészítése (topping): 
o Egy mikrózható tálban keverjük össze a fagyasztott áfonyát az ízlés szerinti édesítőszerrel. 
o Tegyük a mikróba kb. 2 percre (közepes-magas fokozaton), vagy amíg az áfonya megpuhul, levet enged és enyhén szószos állagú lesz. Keverjük át, és tegyük félre. (Alternatívaként kis lábasban, alacsony lángon is elkészíthető.) 
2. Tojásos massza elkészítése: 
o Egy laposabb, szélesebb tálban (amelyben a kenyérszeletek kényelmesen elférnek) egy habverővel vagy villával keverjük simára a tojásfehérjét, a vegán fehérjeport, a növényi tejet, az ízlés szerinti édesítőszert, a vanília aromát és a csipet fahéjat. Ügyeljünk rá, hogy a fehérjepor csomómentesen feloldódjon. 
3. Kenyérszeletek áztatása: 
o Mártsuk a kenyérszeleteket egyesével a tojásos masszába, mindkét oldalukat kb. 15-30 másodpercig áztatva, hogy jól átjárja őket a keverék, de ne ázzanak teljesen szét. 
4. Sütés: 
o Egy tapadásmentes serpenyőben hevítsük fel a kókuszzsírt közepes lángon. 
o Helyezzük a beáztatott kenyérszeleteket a forró serpenyőbe. 
o Süssük mindkét oldalukat aranybarnára, kb. 3-5 percig oldalanként. 
5.Tálalás: 
o A kész French toast szeleteket helyezzük tányérra. 
o Kanalazzuk rájuk a meleg áfonyaszószt, majd csorgassuk vagy tegyünk rá egy kanálnyi mogyoróvajat. Azonnal, melegen tálaljuk. ",https://drive.google.com/thumbnail?id=19iGiBh1zzkhtHTSp2MUj1FEdPgNTrTb2,28,26,22,Nem skálázható,desszert,
76,Friss saláta mandulával,"1. Tojás főzése: A tojásokat tedd egy kis lábasba, öntsd fel annyi hideg vízzel, amennyi ellepi. Forrald fel, majd a forrástól számítva főzd kb. 8-10 percig, hogy keményre főjenek. Ha kész, hideg víz alatt hűtsd le, majd pucold meg és vágd cikkekre vagy karikákra.
2. Zöldségek előkészítése: 
o A salátaleveleket szükség esetén mosd át és szárítsd meg.
o A paprikát mosd meg, csumázd ki, és vágd vékony csíkokra vagy kisebb kockákra.
o Az uborkát mosd meg és vágd félkarikákra vagy kockákra.
o A koktélparadicsomokat mosd meg és vágd félbe vagy negyedbe.
o Az újhagymát tisztítsd meg és karikázd fel (a zöld részét is), vagy ha vöröshagymát használsz, azt pucold meg és aprítsd finomra vagy vágd nagyon vékony szeletekre.
o Az avokádót vágd félbe, távolítsd el a magját, kanalazd ki a húsát, majd szeleteld vagy kockázd fel. Azonnal locsold meg egy kevés citromlével (a fél citromból), hogy ne barnuljon meg.
3. Öntet elkészítése: Egy kis tálkában keverd simára a választott savanyító anyagot (fehérborecet vagy citromlé), a mustárt, az olívaolajat és az ízlés szerinti édesítőszert (ha használsz).
4. Saláta összeállítása: 
o Egy nagyobb tálban vagy közvetlenül tányérokon rendezd el a salátaleveleket.
o Halmozd rá a feldarabolt paprikát, uborkát, koktélparadicsomot és az újhagymát/vöröshagymát.
o Add hozzá az avokádó darabokat és a főtt tojás cikkeket/karikákat.
o Ízlés szerint sózd és borsozd meg a zöldségeket és a tojást. Locsold meg a maradék citromlével.
o Csorgatsd rá az elkészített öntetet.
o Végül szórd meg a pirított mandulával.
5. Tálalás: Azonnal, frissen tálald.",https://drive.google.com/thumbnail?id=1jndv3N4tPZ-SCAtX2cF18_E4T3K3v7YZ,15,19,28,Skálázható,,
77,Füstölt Lazac Buddha Tál Quinoával és Friss Zöldségekkel,"1. Quinoa főzése: A quinoát alaposan öblítsd le hideg folyó víz alatt egy sűrű szövésű szűrőben. Tedd egy kisebb lábasba, add hozzá a 150 ml vizet és egy csipet sót. Forrald fel, majd vedd alacsonyra a lángot, fedd le, és főzd kb. 12-15 percig, vagy amíg az összes folyadék felszívódik és a quinoa megpuhul. Ha kész, villával lazítsd fel, és hagyd kissé kihűlni.
2. Zöldségek és lazac előkészítése (amíg a quinoa fő/hűl): 
o A bébispenótot mosd meg és szükség esetén csepegtesd le.
o A retket mosd meg és vágd vékony szeletekre vagy karikákra.
o Az avokádót hámozd meg, magozd ki, és vágd kisebb kockákra. (Megjegyzés: hogy ne barnuljon meg, megcsepegtetheted egy kevés citromlével az öntethez szánt mennyiségből.)
o A füstölt lazacot tépkedd falatnyi darabokra vagy vágd csíkokra.
o A friss kaprot aprítsd finomra.
3. Öntet elkészítése: Egy kis tálkában keverd simára az 1 teáskanál olívaolajat, az 1 evőkanál citromlevet, az aprított friss kaprot, sót és borsot.
4. Buddha tál összeállítása: 
o Egy mélyebb tálba vagy tányérra kanalazd az elkészült, kissé kihűlt quinoát.
o Rendezd el a quinoa tetején csoportokba vagy ízlésesen elszórva a bébispenótot, a füstölt lazac darabokat, a retek szeleteket és az avokádó kockákat.
o Locsold meg az egészet az elkészített kaporos-citromos öntettel.
5. Tálalás: Azonnal fogyaszd, vagy lefedve hűtőben is tárolhatod pár óráig (az avokádó barnulhat kissé).",https://drive.google.com/thumbnail?id=1pMb3UJ4_Yrg_QwpWPKsjQMi-vPZZfj5s,40,29,22,Skálázható,,
78,"Füstölt Lazacos ""Muffin"" Tojással és Kaporral","1. Sütő előmelegítése: Melegítsd elő a sütőt 180°C-ra (alsó-felső sütés). Készíts elő egy muffin sütőformát, és bélelj ki 2-3 mélyedést papírkapszlival, vagy vékonyan kend ki (kókusz)zsiradékkal.
2. Hozzávalók előkészítése: A füstölt lazacot vágd/tépkedd apróbb darabokra. Az újhagymát (vagy snidlinget) karikázd vékonyra. A friss kaprot aprítsd fel.
3. Tojásos alap elkészítése: Egy közepes tálban verd fel a két tojást egy villával. Add hozzá az 1 evőkanál mandulalisztet (vagy zabpehelylisztet), az aprított kaprot és a felkarikázott újhagymát. Ízlés szerint sózd (óvatosan) és borsozd. Keverd össze alaposan.
4. Lazac hozzáadása: Óvatosan forgasd bele az előkészített füstölt lazac darabokat a tojásos masszába.
5. Formába töltés: Oszd el a keveréket egyenletesen az előkészített muffinforma mélyedéseibe.
6. Sütés: Tedd az előmelegített sütőbe, és süsd kb. 15-20 percig, amíg a ""muffinok"" közepe megszilárdul és a tetejük enyhén aranyszínű nem lesz. Tűpróbával ellenőrizheted: ha a közepébe szúrt tű tisztán jön ki, elkészültek.
7. Hűtés és tálalás: Vedd ki a sütőből, hagyd pár percig a formában hűlni, majd óvatosan emeld ki a muffinokat. Langyosan vagy hidegen is fogyasztható.
Elkészítési idő: 10 perc aktív munka + 15-20 perc sütés (Teljes becsült idő: 25-30 perc)",https://drive.google.com/thumbnail?id=1w0DDDlLTG2v5Op6Tvv16DtvqpdvqV8nX,4,30,24,Nem skálázható,,
79,Füstölt Lazacos Szendvics Uborkával,"1. Kenyér előkészítése (opcionális): Ha ropogósabban szereted, a szelet teljes kiőrlésű kovászos kenyeret pirítsd meg kenyérpirítóban vagy száraz serpenyőben ízlés szerint.
2. Uborka és fűszernövények előkészítése: 
o Az uborkát mosd meg, és vágd vékony karikákra vagy hosszanti szeletekre.
o A friss kaprot vagy snidlinget aprítsd finomra.
3. Szendvics összeállítása: 
o Helyezd a kenyérszeletet (pirítva vagy anélkül) egy tányérra.
o Rendezd el rajta a füstölt lazac szeleteket.
o Halmozd a lazacra a vékonyra szeletelt uborkát.
4. Ízesítés és tálalás: 
o Csepegtesd meg a szendvics tetejét a frissen facsart citromlével.
o Szórd meg az aprított friss kaporral vagy snidlinggel.
o Azonnal fogyaszd.",https://drive.google.com/thumbnail?id=1uqZQn2adlku0zohhQUsRASBEsykHe0GX,18,14,4,Skálázható,,
80,Füstölt Lazacos-Spárgás Tojásrántotta Kovászos Kenyérrel,"1. Spárga előkészítése: A megtisztított és feldarabolt spárgát párold meg enyhén sós vízben pár perc alatt (kb. 2-3 percig), amíg élénkzöld és roppanósan puha lesz. Alternatívaként egy serpenyőben kevés vízen vagy a kimért kókuszzsír egy kis részén futtasd meg szintén 2-3 perc alatt. Szűrd le és tedd félre.
2. Előkészületek: A füstölt lazacot vágd csíkokra. Az aprítani kívánt friss kaprot vagy snidlinget készítsd elő. A tojásokat üsd fel egy kis tálba, sózd, borsozd ízlés szerint, majd egy villával verd fel enyhén.
3. Rántotta készítése: Egy serpenyőben hevítsd fel az 1 teáskanál kókuszzsírt közepes lángon. Öntsd bele a felvert tojásokat.
4. Sütés és összeállítás: Hagyd, hogy a tojás széle kezdjen megszilárdulni, majd egy spatulával óvatosan kezdd el befelé tolni a megsült részeket, és hagyd, hogy a folyékony tojás a serpenyő aljára folyjon. Amikor a rántotta már majdnem kész, de még kissé lágy és krémes, add hozzá az előkészített párolt spárgadarabokat és a füstölt lazac csíkokat. Óvatosan forgasd össze, és süsd még kb. fél-egy percig, amíg a lazac átmelegszik és a tojás teljesen átsül (de ne szárítsd ki).
5. Tálalás: Azonnal tálald a füstölt lazacos-spárgás tojásrántottát. Szórd meg a tetejét friss kaporral vagy snidlinggel. Kínáld mellé a 30 g kovászos kenyeret (ízlés szerint megpirítva).",https://drive.google.com/thumbnail?id=1Jv3z9WqXUR1TvuLrKIpjJcNIVQ_DWCIw,19,33,20,Skálázható,,
81,Füstölt Paprikás Rántotta Kovászos Kenyérrel,"1. Előkészületek:  
o A 30 g teljes kiőrlésű kovászos kenyeret pirítsd meg kenyérpirítóban vagy száraz serpenyőben ízlés szerint.  
o Egy kis tálban verd fel a két tojást villával. Ízesítsd sóval, borssal és egy csipet füstölt paprikával.  
o Az apróra vágott friss petrezselymet készítsd elő.  
2. Rántotta sütése:  
o Egy kisebb serpenyőben hevítsd fel az 1 teáskanál kókuszolajat közepes lángon.  
o Öntsd a fűszeres tojáskeveréket a forró serpenyőbe.  
o Süsd folyamatos, lassú kevergetés mellett, amíg a rántotta eléri a kívánt állagot (lehet lágyabb, krémesebb vagy teljesen átsült).  
3. Tálalás:  
o Közvetlenül tálalás előtt keverd a rántottához az aprított friss petrezselyem nagy részét (egy keveset félretehetsz a díszítéshez).  
o Halmozd a füstölt paprikás rántottát a pirított kovászos kenyér szeletre. Szórd meg a maradék petrezselyemmel. Azonnal, melegen tálald.",https://drive.google.com/thumbnail?id=1JOSVOvqPHvG4cZxpPqcVjW-5ZwBQLDx3,16,18,18,Skálázható,,
82,Füstölt Pulykamell Sonkás Saláta Olívabogyóval és Kovászos Pirítóssal,"1. Kenyérkockák (crouton) elkészítése: A teljes kiőrlésű kovászos kenyeret vágd apró kockákra. Egy száraz serpenyőben közepes lángon pirítsd meg a kenyérkockákat aranybarnára és ropogósra, közben többször rázogasd vagy kevergesd meg. Tedd félre hűlni.
2. Alapanyagok előkészítése: 
o A vegyes zöldsalátát mosd meg alaposan, majd csepegtesd le vagy szárítsd meg (pl. salátacentrifugával vagy konyhai papírtörlővel).
o A füstölt pulykamell sonkát vágd vékony csíkokra.
o A fekete olívabogyókat szeleteld fel.
3. Öntet elkészítése: Egy kis tálkában keverd össze az 1 teáskanál olívaolajat a kevés balzsamecettel. Ízesítsd sóval és frissen őrölt fekete borssal. Alaposan keverd össze.
4. Saláta összeállítása: Egy nagyobb tálban vagy közvetlenül a tálalótányéron helyezd el a vegyes zöldsalátát. Add hozzá a csíkokra vágott füstölt pulykamell sonkát és a szeletelt fekete olívabogyókat. Szórd meg a tetejét a pirított kenyérkockákkal.
5. Tálalás: Locsold meg a salátát az elkészített öntettel, óvatosan forgasd össze (vagy hagyd az öntetet a tetején), és azonnal tálald.",https://drive.google.com/thumbnail?id=1creyDbz2CyvWcgJ93UU94czmKEUW29C9,22,16,9,Skálázható,,
83,Füstölt Pulykamell Szendvics Uborkával és Retekkel,"1. Alapanyagok előkészítése: 
o A kígyóuborkát és a retket mosd meg alaposan, majd vágd vékony szeletekre.
o A friss snidlinget öblítsd le és aprítsd fel.
o A kenyérszeletet ízlés szerint megpiríthatod, de frissen is finom.
2. Szendvics összeállítása: 
o Helyezd a kenyérszeletre a füstölt pulykamell sonka szeleteket.
o Rendezd el rajta egyenletesen a vékonyra szeletelt uborkát és retket.
o Ízlés szerint sózd és borsozd meg a zöldségeket.
o Szórd meg a tetejét a frissen aprított snidlinggel.
3. Tálalás: 
o Azonnal fogyaszd. Nyitott szendvicsként tálalva mutatós, de ha szeretnéd, befedheted egy másik szelet kenyérrel (ez esetben a hozzávalókat és a makrókat duplázni kell a másik kenyérszeletre is).",https://drive.google.com/thumbnail?id=1YY8KWJahKMDocXIo5dXWcD1kK_kmNrcs,20,15,2,Skálázható,,
84,Fűszeres Csirkemell Quinoa Ágyon Zöldségekkel,"1. Quinoa főzése: A quinoát alaposan öblítsd le hideg folyó víz alatt egy sűrű szövésű szűrőben. Tedd egy kisebb lábasba, add hozzá a 150 ml vizet (vagy alaplevet) és egy csipet sót. Forrald fel, majd vedd alacsonyra a lángot, fedd le, és főzd kb. 12-15 percig, vagy amíg az összes folyadék felszívódik és a quinoa megpuhul. Ha kész, villával lazítsd fel, és tedd félre lefedve. 
2. Alapanyagok előkészítése (amíg a quinoa fő):  
o A csirkemellfilét vágd ujjnyi vastagságú szeletekre vagy csíkokra. Egy tálban keverd össze a csirkét a szárított oregánóval, kakukkfűvel, fokhagyma granulátummal, sóval és borssal. 
o A lilahagymát pucold meg és vágd cikkekre vagy vastagabb szeletekre. 
o A kaliforniai paprikát mosd meg, csumázd ki, és vágd csíkokra. 
3.Csirke és zöldségek sütése (csökkentett olajjal):  
o Egy nagyobb, jó minőségű tapadásmentes serpenyőben vagy wokban hevítsd fel az 1 teáskanál kókuszolajat közepes-magas lángon. 
o Add hozzá a befűszerezett csirkemellcsíkokat, és süsd oldalanként kb. 3-4 percig, amíg aranybarnák és teljesen átsültek. Vedd ki a csirkét a serpenyőből, és tedd félre egy tányérra. 
o A serpenyőben visszamaradt zsiradékon (ha szükséges, adj hozzá 1-2 evőkanál vizet vagy alaplevet, hogy ne égjen le) tedd bele a lilahagyma cikkeket és a paprika csíkokat. Sózd, borsozd ízlés szerint. 
o Pirítsd a zöldségeket közepes lángon kb. 5-7 percig, gyakran kevergetve, amíg kissé megpuhulnak, de még roppanósak maradnak. Ha nagyon száraznak tűnik a serpenyő, itt is adhatsz hozzá egy kevés vizet. 
4. Összeállítás és tálalás:  
o Tedd vissza a sült csirkemellcsíkokat a serpenyőbe a zöldségekhez, és forgasd össze az egészet. Melegítsd át 1 perc alatt. 
o Tálalj egy adag főtt quinoát egy tányérra ""ágyként"". 
o Halmozd a fűszeres csirkemellet és a pirított zöldségeket a quinoa ágyra. 
o Azonnal, melegen tálald.",https://drive.google.com/thumbnail?id=1QoPjvsMeSl18K-TYoFSgCEW4pLTfXHXm,47,41,10,Skálázható,,
85,Fűszeres lazac rizzsel,"1. Rizs elkészítése: A basmati rizst mérd ki, majd alaposan öblítsd át hideg vízzel többször is, amíg a víz tisztább nem lesz. Egy kisebb lábosban tedd fel főni kétszeres mennyiségű (kb. 80-100 ml) enyhén sós vízzel. Forrald fel, majd vedd a lángot a legalacsonyabbra, fedd le, és párold kb. 10-12 percig, vagy amíg az összes vizet felszívja és megpuhul. A főzési idő végén húzd le a tűzről, és lefedve hagyd állni még 5-10 percig.
2. Lazac előkészítése: Amíg a rizs fő, készítsd elő a lazacot. A fokhagymagerezdeket pucold meg és zúzd össze vagy aprítsd finomra.
3. Egy kis tálkában keverd össze a zúzott fokhagymát, a frissen facsart lime levét, egy csipet sót, frissen őrölt borsot és az ízlés szerinti mennyiségű chili pelyhet vagy aprított friss chilit.
4. A lazacfilét töröld szárazra papírtörlővel. Kend be alaposan a fűszeres páccal minden oldalát.
5. Lazac sütése: Egy serpenyőt hevíts fel közepes lángon (ha tapadásmentes, zsiradék sem feltétlenül szükséges, egyébként egy kevés olívaolajat vagy kókuszzsírt használhatsz).
6. Helyezd a befűszerezett lazacot a forró serpenyőbe (ha bőrös, akkor a bőrös felével lefelé kezdve). Süsd oldalanként kb. 3-5 percig, attól függően, milyen átsülten szereted. A bőrös oldal legyen szép ropogós.
7. Tálalás: A párolt basmati rizst tedd egy tányérra, majd helyezd rá a sült fűszeres lazacot. Kínálhatsz mellé friss zöldséget vagy egy szelet lime-ot is.",https://drive.google.com/thumbnail?id=1J-vn2PfwsSu76_ZzuopNFJTj-lb1cpo7,30,32,15,Skálázható,,
86,Fűszeres Marhahús Felsál Csíkok Gombával és Hajdinával,"1. Hajdina főzése: A hajdinát alaposan öblítsd le hideg folyó víz alatt egy sűrű szövésű szűrőben. Tedd egy kisebb lábasba, add hozzá a 150 ml vizet és egy csipet sót. Forrald fel, majd vedd alacsonyra a lángot, fedd le, és főzd kb. 15-20 percig, vagy amíg az összes folyadék felszívódik és a hajdina megpuhul. Ha kész, villával lazítsd fel, és tedd félre lefedve.
2. Alapanyagok előkészítése (amíg a hajdina fő): 
o A marhafelsált vágd vékony csíkokra. Egy tálban keverd össze a marhát a szárított kakukkfűvel, fokhagyma granulátummal, sóval és borssal.
o A gombát tisztítsd meg (ha szükséges) és szeleteld fel.
3. Marha és gomba sütése (csökkentett olajjal): 
o Egy nagyobb, jó minőségű tapadásmentes serpenyőben vagy wokban hevítsd fel az 1 teáskanál kókuszolajat közepes-magas lángon.
o Add hozzá a befűszerezett marhacsíkokat, és hirtelen süsd meg őket kb. 2-3 perc alatt, amíg minden oldaluk színt kap és majdnem átsülnek. Vedd ki a marhát a serpenyőből, és tedd félre egy tányérra.
o A serpenyőben visszamaradt zsiradékon (ha szükséges, adj hozzá 1-2 evőkanál vizet vagy alaplevet, hogy ne égjen le) tedd bele a szeletelt gombát. Ízlés szerint sózd, borsozd enyhén.
o Pirítsd a gombát közepes lángon kb. 5-7 percig, gyakran kevergetve, amíg a leve elfő, és a gomba kissé megpirul.
4. Összeállítás és tálalás: 
o Tedd vissza a sült marhacsíkokat a serpenyőbe a pirított gombához, és forgasd össze az egészet. Melegítsd át 1-2 perc alatt.
o Tálald a fűszeres marhahúst és gombát a főtt hajdinával.
o Azonnal, melegen fogyaszd.",https://drive.google.com/thumbnail?id=1Ngz_oRUEupP95F7rTL4_wzoENA2Kchtx,42,46,13,Skálázható,,
87,Fűszeres Marhahús Felsál Csíkok Paprikával és Kuszkusszal,"1. Kuszkusz elkészítése: A teljes kiőrlésű kuszkuszt tedd egy hőálló tálba. Öntsd rá a 100 ml forró vizet (vagy alaplevet), adj hozzá egy csipet sót (ha használsz). Fedd le a tálat, és hagyd állni kb. 5-10 percig, vagy a csomagoláson jelzett ideig, amíg a kuszkusz az összes folyadékot felszívja és megpuhul. Ha kész, egy villával lazítsd fel.
2. Alapanyagok előkészítése (amíg a kuszkusz puhul): 
o A marhafelsált vágd vékony csíkokra. Egy tálban keverd össze a marhát a füstölt paprikával, őrölt korianderrel, sóval és borssal.
o A paprikákat mosd meg, csumázd ki, és vágd csíkokra.
3. Marha és paprika sütése (csökkentett olajjal): 
o Egy nagyobb, jó minőségű tapadásmentes serpenyőben vagy wokban hevítsd fel az 1 teáskanál kókuszolajat közepes-magas lángon.
o Add hozzá a befűszerezett marhacsíkokat, és hirtelen süsd meg őket kb. 2-3 perc alatt, amíg minden oldaluk színt kap és majdnem átsülnek. Vedd ki a marhát a serpenyőből, és tedd félre egy tányérra.
o A serpenyőben visszamaradt zsiradékon (ha szükséges, adj hozzá 1-2 evőkanál vizet vagy alaplevet, hogy ne égjen le) tedd bele a paprikacsíkokat. Ízlés szerint sózd, borsozd enyhén.
o Pirítsd a paprikát közepes lángon kb. 4-6 percig, gyakran kevergetve, amíg kissé megpuhul, de még roppanós marad.
4. Összeállítás és tálalás: 
o Tedd vissza a sült marhacsíkokat a serpenyőbe a pirított paprikához, és forgasd össze az egészet. Melegítsd át 1-2 perc alatt.
o Tálald a fűszeres marhahúst és paprikát a fellazított kuszkusszal.
o Azonnal, melegen fogyaszd.",https://drive.google.com/thumbnail?id=1NHD9AYKfGpK8yh0PBbGaeCwzZFGA3U3c,48,41,13,Skálázható,,
88,Fűszeres Marhafelsál Szeletek Brokkolival és Barna Rizzsel,"1. Rizs főzése: A gyorsfőzésű barna rizst készítsd el a csomagoláson található utasítások szerint (ez általában kb. 10-15 percet vesz igénybe). Ha kész, tedd félre lefedve.
2. Előkészítés (amíg a rizs fő): 
o A marhahús felsál szeleteket ízlés szerint sózd, borsozd, és szórd meg a fokhagyma granulátummal.
o A brokkolit mosd meg, és szedd kisebb rózsákra.
3. Marhahús sütése: 
o Egy nagy, jó minőségű tapadásmentes serpenyőben vagy wokban hevítsd fel a kókuszolaj felét (kb. 2.5 g, azaz kb. 1/2 teáskanál).
o Helyezd a fűszerezett marhahús szeleteket a forró serpenyőbe. Süsd oldalanként kb. 2-4 percig, vagy amíg eléri a kívánt készültségi fokot. A kevés zsiradék miatt ügyelj rá, hogy ne égjen le; szükség esetén mérsékeld a hőfokot.
o Ha kész, vedd ki a marhahúst a serpenyőből, és tedd félre egy tányérra.
4. Brokkoli párolása/pirítása: 
o Ugyanabba a serpenyőbe add hozzá a maradék kókuszolajat (kb. 2.5 g, azaz kb. 1/2 teáskanál), és hevítsd fel közepes lángon.
o Tedd bele a brokkolirózsákat, szórd meg a szárított rozmaringgal, sóval és borssal.
o Pirítsd/párold kb. 5-7 percig, időnként megkeverve. Mivel kevés az olaj, adj hozzá 2-3 evőkanál vizet a serpenyőbe, és fedd le pár percre – ez segít a brokkolinak megpuhulni anélkül, hogy plusz zsiradékra lenne szükség (gőzben párolás). Párold addig, amíg a brokkoli enyhén megpuhul, de még roppanós marad.
5. Összeállítás (opcionális): Ha szeretnéd, a sült marhahús szeleteket visszateheted a brokkolihoz a serpenyőbe, és gyorsan összeforgathatod őket.
6. Tálalás: 
o Tálald a fűszeres marhahús szeleteket a rozmaringos brokkolival és a főtt barna rizzsel. Azonnal, melegen fogyaszd.",https://drive.google.com/thumbnail?id=1WPaNhfXSgHVYwnU-BXSnixQW5PSSq9QE,58,45,16,Skálázható,,
89,Fűszeres Marhafelsál Szeletek Karfiolrózsákkal és Kis Adag Lencsével,"1. Lencse főzése: A vöröslencsét alaposan öblítsd le hideg folyó víz alatt. Tedd egy kisebb lábasba, önts rá kb. 150-200 ml vizet (vagy annyit, amennyi bőven ellepi), és forrald fel. Forrás után vedd alacsonyra a lángot, és főzd kb. 15-20 percig, vagy amíg a lencse teljesen megpuhul. Ha szükséges, pótolj közben egy kevés vizet. Ha megfőtt, szűrd le a felesleges vizet (ha maradt).
2. Alapanyagok előkészítése (amíg a lencse fő): 
o A marhafelsált vágd vékony szeletekre vagy csíkokra. Egy tálban keverd össze a marhát az őrölt római köménnyel, korianderrel, chili pehellyel, sóval és borssal.
o A karfiolt szedd kisebb rózsákra, és mosd meg alaposan.
3. Marha és karfiol sütése/párolása (csökkentett olajjal): 
o Egy nagyobb, jó minőségű tapadásmentes serpenyőben vagy wokban hevítsd fel az 1 teáskanál kókuszolajat közepes-magas lángon.
o Add hozzá a befűszerezett marhaszeleteket, és hirtelen süsd meg őket oldalanként 1-2 perc alatt, amíg színt kapnak, de még nem sülnek teljesen át. Vedd ki a marhát a serpenyőből, és tedd félre egy tányérra.
o A visszamaradt zsiradékon (ha szükséges, adj hozzá 1-2 evőkanál vizet vagy alaplevet, hogy ne égjen le) tedd a serpenyőbe a karfiolrózsákat. Ízlés szerint sózd, borsozd enyhén. Pirítsd őket 2-3 percig, majd önts alájuk kb. 2-3 evőkanál vizet, fedd le, és párold kb. 5-7 percig, vagy amíg a karfiol a kívánt puhaságúra párolódik (legyen még kissé roppanós). Ha elfőné a vizet, pótolhatod.
4. Összeállítás és tálalás: 
o Tedd vissza a sült marhaszeleteket a serpenyőbe a párolt karfiolhoz, és forgasd össze az egészet. Melegítsd át 1 perc alatt.
o Tálald a fűszeres marhát és karfiolt a főtt vöröslencsével. A lencsét teheted köretként mellé, vagy akár egy ""ágyat"" is képezhetsz belőle a húsnak és a karfiolnak.
o Azonnal, melegen fogyaszd.",https://drive.google.com/thumbnail?id=1WU6Ouu_dPZxFIC4dO9EwnlbA8q0ZHz3K,45,51,12,Skálázható,,
